epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1355.19,0.23583,0.2985,0.86071,0.99372,0.75,0.75919,0.74663,0.17407,0.2407,0.65098,0.000170701,0.000170701,0.000170701
138,1365.03,0.2412,0.29618,0.84521,0.99361,0.75,0.76291,0.74729,0.16769,0.23316,0.65058,0.000159699,0.000159699,0.000159699
139,1374.75,0.25297,0.29148,0.83853,0.99369,0.75,0.76309,0.74738,0.16458,0.2333,0.6498,0.000148696,0.000148696,0.000148696
140,1384.51,0.2549,0.29983,0.85811,0.99365,0.75,0.76327,0.74835,0.16379,0.22902,0.64787,0.000137694,0.000137694,0.000137694
141,1394.12,0.17655,0.32983,0.8251,0.9938,0.75,0.75967,0.74709,0.16453,0.22807,0.64713,0.000126692,0.000126692,0.000126692
142,1403.77,0.17095,0.31942,0.77888,0.99397,0.75,0.75463,0.74435,0.16915,0.23374,0.64617,0.00011569,0.00011569,0.00011569
143,1413.36,0.16061,0.30367,0.77055,0.9941,0.75,0.7542,0.74887,0.16799,0.22956,0.64577,0.000104688,0.000104688,0.000104688
144,1423.02,0.15491,0.29822,0.75914,0.9941,0.75,0.75289,0.74365,0.16901,0.2369,0.64531,9.36854e-05,9.36854e-05,9.36854e-05
145,1432.62,0.1606,0.31058,0.75904,0.99407,0.75,0.75711,0.74488,0.16625,0.23665,0.64502,8.26832e-05,8.26832e-05,8.26832e-05
146,1442.37,0.15493,0.29916,0.79412,0.99397,0.75,0.75673,0.74475,0.1638,0.23736,0.64444,7.1681e-05,7.1681e-05,7.1681e-05
147,1451.95,0.16554,0.30778,0.78135,0.9941,0.75,0.75624,0.74459,0.1617,0.23366,0.64402,6.06788e-05,6.06788e-05,6.06788e-05
148,1461.57,0.15943,0.28524,0.78371,0.99407,0.75,0.7555,0.74486,0.15691,0.22557,0.64434,4.96766e-05,4.96766e-05,4.96766e-05
149,1471.11,0.15435,0.28521,0.78114,0.99418,0.75,0.75493,0.74463,0.15544,0.22454,0.64421,3.86744e-05,3.86744e-05,3.86744e-05
150,1480.7,0.16534,0.29654,0.7768,0.99423,0.75,0.75463,0.74453,0.15399,0.22355,0.64392,2.76722e-05,2.76722e-05,2.76722e-05
